NAME,25th,75th,Total
University of Southern Indiana,980,1180,2000
Becker College,980,1180,2000
Cleveland State University,960,1200,2000
Georgetown College,1015,1145,2000
Lindenwood University,1000,1160,2000
Louisiana State University--Shreveport,1020,1140,2000
Northern Illinois University,970,1190,2000
Virginia Wesleyan University,980,1180,2000
Muskingum University,976,1180,2000
West Virginia Wesleyan College,975,1180,2000
Cairn University,955,1200,2000
Southern Baptist Theological Seminary,950,1203,2000
Monmouth College,980,1170,2000
Franklin College,980,1170,2000
Randolph College,960,1190,2000
Texas Lutheran University,990,1160,2000
Sonoma State University,980,1170,2000
Kansas Wesleyan University,980,1170,2000
Piedmont College,970,1180,2000
Northern Michigan University,970,1180,2000
Fitchburg State University,1000,1150,2000
Central Connecticut State University,980,1170,2000
Purdue University--Fort Wayne,970,1180,2000
Youngstown State University,960,1190,2000
Lasell University,980,1170,2000
Bridgewater College,980,1170,2000
East Tennessee State University,970,1180,2000
Wingate University,980,1170,2000
Capitol Technology University,1000,1150,2000
College for Creative Studies,960,1190,2000
Huntingdon College,998,1150,2000
University of Saint Mary,975,1170,2000
Emory and Henry College,980,1160,2000
University of Pittsburgh at Bradford,980,1160,2000
Bethel University (IN),970,1170,2000
Humboldt State University,970,1170,2000
Lenoir-Rhyne University,960,1180,2000
SUNY--Fredonia,970,1170,2000
Delta State University,950,1190,2000
West Texas A&M University,970,1170,2000
Shippensburg University of Pennsylvania,970,1170,2000
Bridgewater State University,990,1150,2000
Bloomsburg University of Pennsylvania,990,1150,2000
Texas A&M University--Corpus Christi,980,1160,2000
University of Arkansas at Little Rock,950,1190,2000
University of Central Arkansas,970,1170,2000
Valdosta State University,1000,1140,2000
Pacific Union College,950,1190,2000
Austin Peay State University,958,1178,2000
Black Hills State University,958,1180,2000
Ohio Valley University,960,1175,2000
William Jessup University,960,1173,2000
Longwood University,980,1150,2000
Belmont Abbey College,950,1180,2000
Marymount University,950,1180,2000
Lake Superior State University,970,1160,2000
Madonna University,960,1170,2000
Waynesburg University,980,1150,2000
Malone University,940,1190,2000
Auburn University at Montgomery,990,1140,2000
Walla Walla University,920,1210,2000
Cornerstone University,950,1180,2000
Judson University,950,1180,2000
Mount St. Joseph University,990,1140,2000
Northern State University,930,1200,2000
Delaware Valley University,970,1160,2000
Shepherd University,970,1160,2000
Texas Woman's University,970,1160,2000
University of Hawaii--Hilo,960,1170,2000
Cabarrus College of Health Sciences,990,1140,2000
Manhattan Christian College,850,1280,2000
Carson-Newman University,960,1168,2000
Simpson University,966,1160,2000
SUNY College of Technology at Alfred,950,1170,2000
Hiram College,930,1190,2000
California State University--Monterey Bay,960,1160,2000
Toccoa Falls College,960,1160,2000
Eureka College,950,1170,2000
Central Washington University,960,1160,2000
CUNY--John Jay College of Criminal Justice,980,1140,2000
West Liberty University,820,1300,2000
Southern Wesleyan University,970,1150,2000
Texas A&M University--Texarkana,990,1130,2000
Salem State University,980,1140,2000
Aurora University,970,1150,2000
LIM College,970,1150,2000
Lincoln Christian University,940,1180,2000
North Park University,950,1167,2000
Oklahoma City University,1090,1280,2000
Utah State University,1050,1290,2000
University of Findlay,1052,1247,2000
West Virginia University,1050,1240,2000
Immaculata University,1015,1220,2000
Florida A&M University,1040,1170,2000
Shenandoah University,980,1190,2000
New Mexico State University,940,1160,2000
San Diego Christian College,973,1140,2000
Winthrop University,950,1160,2000
Trinity Christian College,950,1160,2000
Saint Leo University,960,1150,2000
San Francisco State University,950,1160,2000
Union College (NE),980,1130,2000
York College,950,1160,2000
King University,950,1160,2000
Coker College,950,1160,2000
Methodist University,960,1150,2000
Midway University,960,1150,2000
McNeese State University,970,1140,2000
Cedar Crest College,940,1170,2000
Minnesota State University--Moorhead,920,1190,2000
Kutztown University of Pennsylvania,970,1140,2000
Wilson College,980,1130,2000
Concordia University Texas,940,1170,2000
Eastern Nazarene College,920,1190,2000
Ferris State University,940,1170,2000
Louisiana College,940,1170,2000
Southeastern University,950,1160,2000
Trinity International University,960,1150,2000
Fresno Pacific University,968,1140,2000
Caldwell University,960,1148,2000
Henderson State University,978,1130,2000
Jacksonville University,900,1205,2000
Troy University,960,1145,2000
University of Saint Francis,955,1150,2000
Upper Iowa University,935,1170,2000
Keene State College,960,1140,2000
McMurry University,950,1150,2000
Quincy University,960,1140,2000
Chaminade University of Honolulu,970,1130,2000
California State University--San Marcos,960,1140,2000
Tarleton State University,960,1140,2000
University of Texas of the Permian Basin,970,1130,2000
Edinboro University of Pennsylvania,960,1140,2000
Avila University,990,1110,2000
